time,speed,battery,rider_detected,rider_detected_pad1,rider_detected_pad2,speed_max,odometer,odometer_tire_revs,trip_amps,trip_amps_regen,speed_rpm,battery_voltage,battery_cells,current_amps,tilt_angle_pitch,tilt_angle_roll,controller_temp,motor_temp,charging,crash_state
2017-07-13T08:33:03-0700,0.0,0,,,,,,,,,,,-|-|-|-|-|-|3.58|-|-|-|-|-|-|-|-,,,,,,,false
2017-07-13T08:33:04-0700,0.0,91,,,,,,,,,,57.5,-|-|-|-|-|-|-|-|-|-|-|3.58|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:05-0700,0.0,91,,,,,,,0.26,,,57.5,3.58|-|-|-|-|-|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:06-0700,0.0,91,,,,,,,0.26,,,57.4,-|-|-|-|-|3.58|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:07-0700,0.0,91,,,,,,,0.26,,,57.4,-|-|-|-|-|-|-|-|-|-|3.58|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:08-0700,0.0,91,,,,,,,0.26,,,57.4,-|-|-|-|-|-|-|-|-|-|-|-|-|-|3.58,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:09-0700,0.0,91,,,,,,,0.26,,,57.4,-|-|-|3.58|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:10-0700,0.0,91,,,,,,,0.26,,,57.4,-|-|-|-|-|-|-|-|3.58|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:11-0700,0.0,91,,,,,,,0.28,,,57.4,-|-|-|-|-|-|-|-|-|-|-|-|-|3.58|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:12-0700,0.0,91,,,,,,,0.28,,,57.4,-|3.56|-|-|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:13-0700,0.0,91,,,,,,,0.28,,,57.4,-|-|-|-|-|-|3.58|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:14-0700,0.0,91,,,,,,,0.28,,,57.4,-|-|-|-|-|-|-|-|-|-|-|3.58|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:15-0700,0.0,91,,,,,,,0.28,,,57.4,3.58|-|-|-|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:16-0700,0.0,91,,,,,,,0.28,,,57.4,-|-|-|-|-|3.58|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:17-0700,0.0,91,,,,,,,0.3,,,57.4,-|-|-|-|-|-|-|-|-|3.58|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,,,,,,false
2017-07-13T08:33:18-0700,0.0,91,,,,,,,0.3,,,57.4,-|-|-|-|-|-|-|-|-|-|-|-|-|-|3.58,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2350,1729,,,,false
2017-07-13T08:33:19-0700,0.0,91,,,,,,,0.3,,,57.4,-|-|-|3.58|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2707,2034,,,,false
2017-07-13T08:33:20-0700,0.0,91,,,,,,,0.3,,,57.4,-|-|-|-|-|-|-|-|3.58|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2723,1632,,,,false
2017-07-13T08:33:21-0700,0.0,91,,,,,,,0.3,,,57.4,-|-|-|-|-|-|-|-|-|-|-|-|-|3.58|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2754,1695,,,,false
2017-07-13T08:33:22-0700,0.0,91,,,,,,,0.3,,,57.3,-|3.56|-|-|-|-|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2783,2425,,,,false
2017-07-13T08:33:23-0700,0.0,91,,,,,,,0.32,,,57.4,-|-|-|-|-|-|3.56|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2778,2303,,,,false
2017-07-13T08:33:24-0700,0.0,91,,,,,,,0.32,,,57.3,-|-|-|-|-|-|-|-|-|-|-|3.58|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2664,1840,,,,false
2017-07-13T08:33:25-0700,0.0,91,,,,,,,0.32,,,57.3,3.58|-|-|-|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2822,2158,,,,false
2017-07-13T08:33:26-0700,0.0,91,,,,,,,0.32,,,57.3,-|-|-|-|-|3.56|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2682,736,,,,false
2017-07-13T08:33:27-0700,0.0,91,,,,,,,0.32,,,57.3,-|-|-|-|-|-|-|-|-|3.56|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2723,979,,,,false
2017-07-13T08:33:28-0700,0.0,91,,,,,,,0.32,,,57.3,-|-|-|-|-|-|-|-|-|-|-|-|-|-|3.56,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2747,1681,,,,false
2017-07-13T08:33:29-0700,0.0,91,,,,,,,0.34,,,57.3,-|-|-|3.56|-|-|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2710,2714,,,,false
2017-07-13T08:33:30-0700,0.0,91,,,,,,,0.34,,,57.3,-|-|-|-|-|-|-|-|3.56|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2708,2261,,,,false
2017-07-13T08:33:31-0700,0.0,91,,,,,,,0.34,,,57.3,-|-|-|-|-|-|-|-|-|-|-|-|-|3.58|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2743,2798,,,,false
2017-07-13T08:33:32-0700,0.0,91,,,,,,,0.34,,,57.3,-|3.56|-|-|-|-|-|-|-|-|-|-|-|-|-,1.6|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2816,3395,,,,false
2017-07-13T08:33:33-0700,0.0,91,,,,,,,0.34,,,57.3,-|-|-|-|-|-|3.56|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2813,3532,,,,false
2017-07-13T08:33:34-0700,0.0,91,,,,,,,0.36,,,57.3,-|-|-|-|-|-|-|-|-|-|-|3.56|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2812,3546,,,,false
2017-07-13T08:33:35-0700,0.0,91,,,,,,,0.36,,,57.3,3.56|-|-|-|-|-|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2810,3549,,,,false
2017-07-13T08:33:36-0700,0.0,91,,,,,,,0.36,,,57.3,-|-|-|-|3.56|-|-|-|-|-|-|-|-|-|-,0.8|-|-|-|-|-|-|-|-|-|-|-|-|-|-,2818,3552,,,,false
